Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,"@EnemohA They literally said walls cannot stop the corona virus and banning travels can’t .
They literally used it… https://t.co/jLSBXBdrK4",2021-05-01 10:17:41,1388437460200341505,TheGbohunmi,,Common sense,True,0,0,en,Twitter for iPhone
,"RT @_VoiceOfMuslims: Corona is a virus and BJP is the pandemic.
#ResignPMmodi https://t.co/BdpwkWckaX",2021-05-01 10:17:26,1388437400414609414,Raj37221435,,,False,7,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 10:17:24,1388437388603510787,sushant_peace,,,False,3460,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 10:17:22,1388437383658446852,Guruday83185163,,,False,3460,0,en,Aviary (for iOS and macOS)
,@polijunkie_aus @RitaPanahi They provide no protection if the person with corona virus isn't wearing one. Bidens li… https://t.co/JJMNQLKk5D,2021-05-01 10:17:11,1388437337063886848,FiFimackie,,Sydney,True,0,0,en,Twitter Web App
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 10:17:08,1388437323084222467,nan_Indi,,India,True,3460,0,en,Twitter for Android
,"RT @JR66112852: Mask-wearing exacerbates Asthma &amp; COPD symptoms - fact!...

Hayfever causes runny noses &amp; sneezing - fact!...

Common Colds…",2021-05-01 10:16:59,1388437284391903232,Maisie681,,,True,5,0,en,Twitter for Android
,"RT @AsadMalik1035: Let all the fandoms get together and fight till the end with the Corona virus and ignore all hatred around.
You guys nee…",2021-05-01 10:16:58,1388437280990236674,jitenk_007,,"Shimla, India",True,15,0,en,Twitter for Android
,"RT @AsadMalik1035: Let all the fandoms get together and fight till the end with the Corona virus and ignore all hatred around.
You guys nee…",2021-05-01 10:16:52,1388437258395557890,Jyoti78812899,,,False,15,0,en,Twitter for Android
,@timesofindia As as responsible citizen stand together and fight together corona doesn't see the religion this is r… https://t.co/28yeQhMDxB,2021-05-01 10:16:52,1388437255765729282,Imrankhanst,,"Hyderabad, India",False,0,0,en,Twitter for iPhone
,Sign and symptom Corona virus https://t.co/Dw9Mcugl2t,2021-05-01 10:16:47,1388437237466025986,Ahmadkh67933021,,,False,0,0,en,Twitter for Android
,"RT @AsadMalik1035: Let all the fandoms get together and fight till the end with the Corona virus and ignore all hatred around.
You guys nee…",2021-05-01 10:16:45,1388437227412156416,GunnArora9,,,False,15,0,en,Twitter for Android
,RT @StringReveals: Says the person who lives luxurious life in Germany but mislead millions of innocent Indians about Corona Virus &amp; Vaccin…,2021-05-01 10:16:43,1388437217694023680,mahitanda,,hyderabad,False,3460,0,en,Twitter for iPhone
