Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,"RT @nsui: NSUI Udalguri, Assam team distributed mask &amp; hand sanitizer on the occassion of 'Labour Day' &amp; also launched a Covid-19 awareness…",2021-05-01 11:03:11,1388448911774261250,Altaf_Official3,,"Degana, India",True,7,0,en,Twitter for Android
,"RT @theMRC: Chinese Communist Party’s censors appear to have blocked access to @cnsnews in China.

CNS has extensively been covering report…",2021-05-01 11:03:11,1388448911530991617,TsuiJacky1,,Hong Kong,False,26,0,en,Twitter for Android
,RT @RadharamnDas: Those who were celebrating death of Shri #RohitSardana ji is demanding Judicial probe for Muslim criminals &amp; murderers wh…,2021-05-01 11:03:10,1388448910159618048,hemal_kandoriya,,"Bharat,Hindustan,india",True,38,0,en,Twitter for iPhone
,RT @andrewmacfnz: #BREAKING - Three new cases of COVID-19 have been reported in Perth. NZ Ministry officials have conducted a rapid public…,2021-05-01 11:03:10,1388448907445694465,TravellerDaddy,,,True,6,0,en,Twitter for iPhone
,"RACINE — When the COVID-19 pandemic hit in March 2020, Linda Ford’s children told her it was time to fully retire f… https://t.co/N9R0QPgoqb",2021-05-01 11:03:10,1388448907043221505,Journaltimes,,,True,0,0,en,SocialNewsDesk
,RT @ashokgehlot51: Wishing LG of Delhi Anil Baijal ji speedy recovery from #Covid_19. May he get well soon.,2021-05-01 11:03:10,1388448906556575745,AlpanaKhandelw3,,,False,302,0,en,Twitter Web App
,"RT @deepakpatel_91: Gujarat continues to underreport Covid-19 deaths: Sandesh

Gujarat govt says only 103 people died of Covid in 7 major c…",2021-05-01 11:03:10,1388448906443247617,INCbharuch,,"Bharuch, India",False,228,0,en,Twitter for Android
,"RT @CNN: ""As the United States and the world continue to struggle in the second year of the Covid-19 pandemic, one truth has emerged -- it…",2021-05-01 11:03:09,1388448903821942785,ColossusDiplo,,,True,21,0,en,Twitter Web App
,RT @KingshukSen10: Already situation is worst . Taking exam offline can lead serious problem for student some student lost there family due…,2021-05-01 11:03:09,1388448903050137600,Om59967337,,,False,63,0,en,Twitter Web App
,RT @Wolfhou81747949: COVID-19: Tests for herb Artemisia begin: Algerian researchers had tested the effectiveness of malaria drugs against S…,2021-05-01 11:03:09,1388448902970449923,2011salim,,ประเทศไทย,True,2,0,en,Twitter for Android
,"RT @AskAnshul: It's now confirmed that Gangster Mohammad Shahabuddin died due to Covid-19.

People who were celebrating the death of journa…",2021-05-01 11:03:09,1388448902634885121,boytoy0001,,"Indore, India",True,3115,0,en,Twitter for iPhone
,"RT @DrEricDing: India 🇮🇳 recorded over 400,000 cases for the first time. Just 3 weeks ago, India only logged 100k a day. Quadrupling in 3 w…",2021-05-01 11:03:08,1388448900651094016,hanouf_rawdhan,,,False,89,0,en,Twitter Web App
,"RT @MedscapeEndo: Patients with #obesity and those who are overweight who are hospitalized for COVID-19, are more likely to need respirator…",2021-05-01 11:03:08,1388448900554571782,kabbayero,,,False,7,0,en,Twitter for Android
,"RT @MeghUpdates: Reliance Industries becomes India’s largest producer of medical oxygen, provides 1,000 MT of the gas free of cost daily to…",2021-05-01 11:03:08,1388448899694620678,Nehasha65185689,,,False,847,0,en,Twitter Web App
,"RT @MoHFW_INDIA: #LargestVaccineDrive
#Unite2FightCorona

As the next phase of COVID-19 vaccination in India begins, eligible beneficiaries…",2021-05-01 11:03:07,1388448897165451269,ddkpondy,,"Indira Nagar, Puducherry",True,16,0,en,Twitter Web App
,"@hansvantelling What is the difference between Influenza (Flu) and COVID-19?

Influenza (Flu) and COVID-19 are both… https://t.co/h3tyKbmqB1",2021-05-01 11:03:07,1388448895672496132,ArlingFrank,,,False,0,0,en,Twitter for Android
,"RT @nramind: The Covid-19 pandemic and autocratic, arbitrary, and unlawful state policies &amp; behaviours-1: ""Australia’s ban on travellers re…",2021-05-01 11:03:07,1388448895580004355,rswamie,,Chennai,False,9,0,en,Twitter for Android
,RT @StateDeptSpox: Taiwan's outstanding control of COVID-19 and its donations of PPE demonstrate its strong contribution to global health.…,2021-05-01 11:03:07,1388448895517151232,alsyl_a,,,False,614,0,en,Twitter for iPhone
