Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,"RT @erbmjha: ""I'll oppose lockdown because Modi imposed it "" 

""But I'll support it when someone from the West says the same "" 

Heads I wi…",2021-05-01 07:25:13,1388394057320173572,Profit_PUBG,,"Guwahati, India",False,104,0,en,Twitter for Android
,"RT @Elanders_Voice: Tony Blair thinks we should extend lockdown.

Dismissing 6 million real people as of “limited economic importance”

And…",2021-05-01 07:25:11,1388394052094148614,M60Pest,,"Salford, England",False,37,0,en,Twitter for Android
,Lol. WA is going to be yo-yo’ing in and out of lockdown from here to eternity #Covid19WA https://t.co/05d4csgGhH,2021-05-01 07:25:11,1388394050848399366,sandylanceley,,,True,0,0,en,Twitter for iPad
,ETIndustryNews: Lockdown constraints amid second wave of Covid-19 infections a downside risk for electricity demand… https://t.co/lFOsz1T6GF,2021-05-01 07:25:11,1388394049845989376,tecmvaind,,,False,0,0,en,IFTTT
,"Whether it's COVID anxiety, lockdown frustration, or an annoying sibling that has you riled up, here is an easy way… https://t.co/IXFZ9MQBuQ",2021-05-01 07:25:10,1388394048545714178,homelyIndia,,"Bengaluru, India",False,0,0,en,Twitter Web App
,"RT @itsziddii2: #IndiansDyingModiEnjoying
Many have already left big cities, fearing a repeat of last year, when an abrupt lockdown forced…",2021-05-01 07:25:10,1388394045853118464,itsziddii2,,Pakistan,False,4,0,en,Twitter for Android
,@ArvindKejriwal Delhi lockdown to extend till 15 May. We cant risk people lives with lack of facilities,2021-05-01 07:25:09,1388394041734172675,deeptisara,,Delhi,False,0,0,en,Twitter Web App
,RT @Ethirajans: Nothing short of a complete lockdown will contain the situation.,2021-05-01 07:25:08,1388394040220012552,ArvindT78662935,,,False,22,0,en,Twitter for iPhone
,RT @jimincIoud: we’re officially in may and it’s bts comeback month !! are y’all ready ? just a reminder we are on a bts lockdown so do not…,2021-05-01 07:25:08,1388394038148042753,_Magenta_3,,,False,303,0,en,Twitter for Android
,"RT @UNNATICELL: A U-Turn in normal life!
Karnataka to witness a 14 days lockdown from tomorrow.
•The time period for essential services wil…",2021-05-01 07:25:07,1388394034545119233,AnkitaS62651670,,,False,36,0,en,Twitter Web App
,"RT @erbmjha: ""I'll oppose lockdown because Modi imposed it "" 

""But I'll support it when someone from the West says the same "" 

Heads I wi…",2021-05-01 07:25:07,1388394033098133505,Confusedsperm3,,,False,104,0,en,Twitter for Android
,"@HFenton8 @DBruadair -Aontú opposed endless lockdown, SF wanted ZeroCovid 
- Aontú oppose Vaccine Passports, SF vot… https://t.co/HyK1ZtIkTW",2021-05-01 07:25:06,1388394031902769152,TomOHanlon17,,"In the sticks, Ireland ",False,0,0,en,Twitter Web App
,RT @archit_desai_: Lockdown extended in Maharashtra till 15 May. @PMOIndia @narendramodi @DrRPNishank  please take decision about CBSE 12th…,2021-05-01 07:25:06,1388394031256801284,Pranavs93166254,,,False,1,0,en,Twitter Web App
,"@Introvertmemer_ Fuck lockdown, I love being in the house and the house love having me here.",2021-05-01 07:25:06,1388394028836687876,MoneshRathod,,India,True,0,0,en,Twitter Web App
,"RT @babu557869: @narendramodi Essential services:
1. Central Vista
2. Ram Mandir
3. Bullet Train
4. Managing Media
5. Power in Bengal 
6. D…",2021-05-01 07:25:06,1388394028576636928,shashijaiswal17,,"Ranchi, India",True,51,0,en,Twitter for Android
,"RT @ZaidZamanHamid: In India frustrated and angry people have had enough..
Beating the police and Army for covid lockdown and mask enforcem…",2021-05-01 07:25:05,1388394027150725122,MalikAkhtar__,,,False,306,0,en,Twitter for Android
,RT @algerianoncrack: ive never looked uglier than i do in the lockdown browser camera,2021-05-01 07:25:05,1388394027112927232,anfal78452384,,,False,5,0,en,Twitter for iPhone
,RT @nemanlostatsea: @halftwottered @EuropeanBriton @thelittlegreen6 @TJRyan_77 They’re not isolated from the world. You can still go there.…,2021-05-01 07:25:05,1388394026802556928,EuropeanBriton,,United Kingdom,False,1,0,en,Twitter for iPad
,Do you think #India will witness another complete lockdown? #CovidIndia #COVIDEmergency #COVID19 #SecondWave… https://t.co/SHZDcI62jU,2021-05-01 07:25:05,1388394025800015876,vinittulsyan,,Mumbai,False,0,0,en,Twitter Web App
,RT @SYMworlddd: Lockdown has made me sooooo antisocial and such a home body it’s crazy,2021-05-01 07:25:03,1388394018959208448,_nopressure6,,Louisville,True,6124,0,en,Twitter for iPhone
,"RT @ArielaZibiah: Dr Fong refers to #domesticviolence during his daily briefing today, reminding us of the propensity of increased DM in cr…",2021-05-01 07:25:03,1388394017570705413,MNailatikau,,Fiji,True,4,0,en,Twitter for iPhone
,"RT @erbmjha: ""I'll oppose lockdown because Modi imposed it "" 

""But I'll support it when someone from the West says the same "" 

Heads I wi…",2021-05-01 07:25:03,1388394016098586624,kiritotwts,,"10 Janpath, Lahore, India",True,104,0,en,Twitter for Android
,"RT @steve_hanke: Turkey’s 17-day COVID lockdown bans alcohol sales. Although the gov’t said the ban is to protect small businesses, many Tu…",2021-05-01 07:25:02,1388394013380710400,Kemfon_U,,Lost in my mind,False,20,0,en,Twitter for iPhone
,"RT @Daz_Leicester: TRN: India this morning filmed by a resident, no lockdown, no panic, if it was left to the mainstream media, everyone wo…",2021-05-01 07:25:01,1388394010675499008,telday1,,,False,18,0,en,Twitter Web App
,RT @SYMworlddd: Lockdown has made me sooooo antisocial and such a home body it’s crazy,2021-05-01 07:25:01,1388394008276307968,asndxi,,NY,True,6124,0,en,Twitter for iPhone
,"I know lockdown's been tough and we're all looking for a bit of online fun.

Just be careful out there.

Fetishes a… https://t.co/NW7SfM55B2",2021-05-01 07:25:00,1388394003838636032,RazzSays,,United Kingdom,False,0,0,en,TweetDeck
,RT @nzxo_: Bring back 1st lockdown gas prices bro,2021-05-01 07:25:00,1388394003746357251,_shantara,,,False,3982,0,en,Twitter for iPhone
,The lockdown rule changes and key dates in Wales this month https://t.co/k0025HlUC5 https://t.co/eovuuo70zl,2021-05-01 07:25:00,1388394003549327363,WalesOnline,,Wales,True,0,0,en,TweetDeck
