Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,"RT @BostonJerry: Again, pandemic unemployment is $1200/month, which is $7.50/hour or $14,400/year.

If employers can't hire staff because t…",2021-05-01 13:28:52,1388485573556555777,MissCassieEspo,,⁶𓅓,False,21457,0,en,Twitter for iPhone
,"RT @Symtrees: @BostonJerry In GA, max UI is $365 &amp; w/ the pandemic additional $300 that's $665 a week. $665 divided by 40hours = $16.62 an…",2021-05-01 13:28:52,1388485572919013376,JohnnyDee62,,"Washington, DC",False,77,0,en,Twitter for iPhone
,RT @SUBHAMKUMARSEN1: We all are aware of what all are going through this pandemic and students are suffering they are in tha middle of nowh…,2021-05-01 13:28:51,1388485572616867841,whistlepodu11,,,False,85,0,en,Twitter Web App
,"India's Election News HQ, TIMES NOW suspends Counting Day coverage on May 2 to focus on COVID-19 pandemic.

Listen… https://t.co/rHndxtnDSQ",2021-05-01 13:28:51,1388485572323209221,TimesNow,,India,True,0,0,en,Twitter Media Studio
,"RT @markiskaipable: now that details are out, please be kind to yourselves. ik the albums are great but pls dont pressure urself into buyin…",2021-05-01 13:28:51,1388485571928985601,jichenlesung,,"Santa Rosa City, Calabarzon",False,190,0,en,Twitter for Android
,"@DebasreeBJP @smritiirani India's creator,safer&amp;ruiner is Parrot-Congress Prime Minister candidate,MrGod-Phallus ha… https://t.co/BN5MB4CoC1",2021-05-01 13:28:51,1388485570389626889,Godinhumanform3,,,False,0,0,en,Twitter Web App
,"RT @Aabhas24: They aren’t against Pandemic!They are against Modi,RSS &amp; push for nonsensical secularism. 

These vultures just want to use i…",2021-05-01 13:28:51,1388485569777311744,MaverickAnuraag,,,False,261,0,en,Twitter for Android
,"@snickersnee0810 Damn. 3. This pandemic is really changing the dynamics of society and societal relationships, ofco… https://t.co/LY1hpqGcfJ",2021-05-01 13:28:51,1388485569223614477,abhinav_me,,Gumnaam Area,False,0,0,en,Twitter for Android
,"RT @IndiaSpeaksPR: Our champagne liberals will read the Poonawalla interview, take a sip of their scotch and then quip in a serious, noncha…",2021-05-01 13:28:51,1388485568665817095,IndoCentraSpike,,,False,115,0,en,Twitter for Android
,"RT @CandidShweta: Yeh Rajiv Gandhi foundation Achar Chutney Papad banane ka NGO hai kya?? 
Are they doing something during pandemic??",2021-05-01 13:28:50,1388485568317640710,Rupali40821166,,"New Delhi, India",False,50,0,en,Twitter for Android
,"RT @smitharnair: I spent a day inside one of Mumbai's Covid War Rooms. 

Bed allocation for patients is done through the city's 24 war room…",2021-05-01 13:28:50,1388485568292560905,malgudiboy,,"Mumbai,india",True,1128,0,en,Twitter for iPhone
,"RT @khaleejtimes: #COVID19: Police probing probable case of human smuggling.
https://t.co/PoRM7GLXtq",2021-05-01 13:28:50,1388485567642488832,waleed_rf,,Kashmir/Dubai,True,3,0,en,Twitter for iPhone
,RT @acabforbooty: It’s almost as if using punishment to police a pandemic doesn’t fucking work!,2021-05-01 13:28:50,1388485567030071301,jadesharpee,,,False,24,0,en,Twitter for iPhone
,RT @amitmalviya: The National Centre for Disease Control has said that the current wave of coronavirus pandemic in Delhi and Punjab could h…,2021-05-01 13:28:50,1388485566329606150,Rajeev76233092,,,False,2145,0,en,Twitter for Android
,RT @Calvinn_Hobbes: Me trying to work out at home during a pandemic. 😂 #CalvinandHobbes https://t.co/HPbNMWmgEW,2021-05-01 13:28:50,1388485565771878405,d2steeringwheel,,central illinois,False,97,0,en,Twitter for iPhone
,RT @talkwordy: The government has accidentally run a huge experiment of living wages and universal basic income and the results are in: peo…,2021-05-01 13:28:49,1388485562882043909,annelogged,,"Best Lafayette, Indiana",False,11,0,en,Twitter for Android
,"Thanks you so much @POTUS 
Provide Help for pandemic in India solidarity mission in India
@SoniaBarbry 
#CovidIndia… https://t.co/YiNfsdUun7",2021-05-01 13:28:49,1388485562265268232,mohd7520696509,"Place(_api=<tweepy.api.API object at 0x7f02e2198610>, id='13e2481c0f45289b', url='https://api.twitter.com/1.1/geo/id/13e2481c0f45289b.json', place_type='city', name='Aligarh', full_name='Aligarh, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f02e2198610>, type='Polygon', coordinates=[[[78.028739, 27.841366], [78.148531, 27.841366], [78.148531, 27.963932], [78.028739, 27.963932]]]), attributes={})",india,True,0,0,en,Twitter for Android
,"RT @by2kaafi: +but let us continue with the charade that the pandemic requires money, that too money for 'civil society'!!), why can't the…",2021-05-01 13:28:49,1388485562219126787,rAjamAtangi,,,False,3,0,en,Twitter for iPhone
,We cannot deny the fact that India's over population is one of the major reason why pandemic went out of control.… https://t.co/5AmohoBEFP,2021-05-01 13:28:49,1388485561174749187,ofloxacin_500mg,,,True,0,0,en,Twitter Web App
,@JohnRHewson @mormorlady Absolutely.  If there was an earthquake wouldn't the govt have to evacuate them?  Why is a pandemic different?,2021-05-01 13:28:49,1388485560986079234,Shez1Shez,,Sydney ,False,0,0,en,Twitter for Android
,"Due to the pandemic, financial institutions are having to innovate and execute faster than ever. Learn more… https://t.co/HF7zl6J2uB",2021-05-01 13:28:49,1388485560935886854,GirshaSushma,,,False,0,0,en,Powered by Sprinklr
,"RT @BostonJerry: Again, pandemic unemployment is $1200/month, which is $7.50/hour or $14,400/year.

If employers can't hire staff because t…",2021-05-01 13:28:49,1388485560394784771,morgrenfro,,"Indianapolis, IN",True,21457,0,en,Twitter for iPhone
,"RT @insan_honey: Doctors, Nurses, Police &amp; Ambulance drivers are leaving no stone unturned to protect us during the Covid19 pandemic. Abidi…",2021-05-01 13:28:48,1388485559803289603,sahilinsaa,,india,False,1910,0,en,Twitter for Android
,@kumar_mayank22 I'm wondering. There is match in such pandemic.,2021-05-01 13:28:48,1388485559404822529,sclal57,,"Kathmandu, Nepal",True,0,0,en,Twitter for Android
,"RT @washingtonpost: India shattered the record for daily cases in the pandemic, reporting more than 400,000 coronavirus cases on Saturday h…",2021-05-01 13:28:48,1388485556829671424,katts73,,"Florida, USA",False,123,0,en,Twitter for Android
,RT @mlipsitch: Also I've been thinking as the pandemic has worn on (and on) that the issue of trusting or not scientific experts on the fac…,2021-05-01 13:28:48,1388485556603064320,avizvizenilman,,Brooklyn (where else),False,3,0,en,Twitter Web App
,"RT @1Obefiend: Pick me guy who lived in the USA telling you 900 sqft with 8 people ""is not bad"". If you like living in TENAMENTS go live in…",2021-05-01 13:28:48,1388485556531728386,twt_alia,,IPH,True,94,0,en,Twitter for iPhone
,"RT @Shilpa1308: Amidst a raging pandemic and flouting Covid norms, a large crowd gathered near Thiruvathavur in Madurai to take part in the…",2021-05-01 13:28:48,1388485556145823744,nistula,,"New Delhi, India",False,759,0,en,Twitter for iPhone
,"RT @TomCottonAR: This is sad but it's not a surprise—@cnsnews has been reporting on China's role in covering up the pandemic. 

China wants…",2021-05-01 13:28:47,1388485555504095236,All4oneReborn,,,False,136,0,en,Twitter for Android
,Repubs are the only ppl on planet earth that are afraid of Donald Trump and don’t think he’s just an imbecile &amp; los… https://t.co/dN8F5KjjRR,2021-05-01 13:28:47,1388485553918709761,_Buster10,,"Philadelphia, PA",True,0,0,en,Twitter for iPhone
,"RT @markiskaipable: now that details are out, please be kind to yourselves. ik the albums are great but pls dont pressure urself into buyin…",2021-05-01 13:28:47,1388485553633435649,hyjyscart,,mindanao🇵🇭,False,190,0,en,Twitter for iPhone
