Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,Source
,"RT @moronhumor: [11/n] Swati Chaturvedi (Alleged Journalist) 

“I have zero faith in Bharat Biotech”

“I will not be getting the covaxin va…",2021-05-01 11:24:51,1388454362888884225,santoshprayagra,,"New Delhi, India",True,485,0,en,Twitter for Android
,"RT @sallyKP: New VAERS report, 15 year old boy, in Colorado, died of a heart attack 2 days after Pfizer vaccine. No history of allergic rea…",2021-05-01 11:24:50,1388454362217861120,GoshJatz,,NoVA,False,333,0,en,Twitter for Android
,"RT @WHCOS: If you need to find a place to get the COVID vaccine, just text your zipcode to 438829.  You'll get locations near you where you…",2021-05-01 11:24:50,1388454361924243456,TheCThompsFeed,,Orlando,False,9589,0,en,Twitter for iPhone
,"RT @DrEricDing: ⚠️WAIVE THE PATENTS—50 Factory owners around the globe, from Bangladesh to Canada, are ready to retrofit facilities &amp; make…",2021-05-01 11:24:50,1388454361336926210,Adventuremun,,Aus,False,1277,0,en,Twitter Web App
,"RT @ajitdatta: Sputnik is a foreign vaccine.

What you are doing is like saying I want outside food, but waiting for the others to say let'…",2021-05-01 11:24:50,1388454360988798976,Okhawaasi,,"વડોદરા, भारत",False,22,0,en,Twitter for Android
,RT @stone_toss: big thanks to all the folks beta testing the vaccine for us skeptics out there ❤️,2021-05-01 11:24:50,1388454360275881984,SmashUltimateP3,,,False,497,0,en,Twitter Web App
,"@AX4sqhGS @AverageDave5 @NathanLeese2 @stone_toss But fuck it, I'll do it anyway. 

Assuming that blk ppl are repre… https://t.co/0Fxsnhlueo",2021-05-01 11:24:50,1388454360108224514,ArceusLegend50,,"Αττική, Ελλάς",False,0,0,en,Twitter for Android
,"RT @ONE_in_Canada: For every 10 Canadians vaccinated ➡️ we can vaccinate 1 African healthcare worker. 

This lets us continue vaccination h…",2021-05-01 11:24:50,1388454358870802437,suzygranville,,,True,5,0,en,Twitter for iPhone
,"RT @kaitlancollins: ""The 2nd dose induces a level of virus neutralizing antibodies about 10-fold greater than the first dose,” said Dr. Pau…",2021-05-01 11:24:49,1388454357092474883,rhammer,,"Traverse City, Michigan",False,791,0,en,Twitterrific for iOS
,"RT @ugalani: The calls come from some of the most powerful men. They come from the chief ministers of Indian states, heads of business cong…",2021-05-01 11:24:49,1388454356769394692,JeevMarathi,,,False,64,0,en,Twitter Web App
,"RT @RahulGandhi: Shortage crisis of vaccine, oxygen &amp; medical supply is real...

...unlike PM’s image. https://t.co/fCSDl08oMx",2021-05-01 11:24:49,1388454356614217731,COOLCALMSTROM,,"Bilbao, Spain",True,3394,0,en,Twitter for iPhone
,While Joe Biden &amp; Kamala Harris erred by blocking vaccine raw materials to India for over a week in spite of global… https://t.co/VHrkmvsyGW,2021-05-01 11:24:49,1388454355892768771,KiranKS,,"Bengaluru, India",False,0,0,en,Twitter for Android
,RT @DGHisham: Tempahan untuk vaksin ASTRA ZENECA akan di buka esok 2hb May 2021. Tempahan adalah berdasarkan  “first-come first served basi…,2021-05-01 11:24:49,1388454355406266375,heyitswan,,Somewhere in the world,True,1159,0,en,Twitter for iPhone
,"RT @pookleblinky: It's so fucking weird that like 60 years ago scientists were able to make a vaccine for measles, say ""it'll stop measles…",2021-05-01 11:24:49,1388454355339202560,Im_Tori_Senpai,,,False,5922,0,en,Twitter for Android
,"RT @DrTomFrieden: Globally, the end of the pandemic isn't near.
 
More than a million lives depend on improving our response quickly.
 
Don…",2021-05-01 11:24:48,1388454354038951938,lewish823,,,False,1425,0,en,Twitter for Android
,RT @klfaber1: There is nothing false in this statement. It’s not even anti-vac. It’s highlighting the problem with Ct of 40 being used for…,2021-05-01 11:24:48,1388454353837694978,EvenKieled,,,False,249,0,en,Twitter for iPhone
,"RT @HenricoNews: Henrico is holding a walk-up vaccination event on Friday, April 30 @RichmondRaceway. People 16+ who live in Henrico or the…",2021-05-01 11:24:48,1388454353506377730,BethEbersole1,,,False,32,0,en,Twitter for iPhone
,RT @cityoftoronto: Residents who are eligible to receive a vaccine that do not have an OHIP card may use other forms of ID to book a #COVID…,2021-05-01 11:24:48,1388454351832748032,JohnOCAP,,Toronto,False,14,0,en,Twitter Web App
,"RT @thehill: NEW: Officials are turning to initiatives such as giving vaccine recipients payments through savings bonds, a free drink or gi…",2021-05-01 11:24:48,1388454350314483720,vroomjay,,he/him,False,5,0,en,Twitter for iPhone
,RT @staceys5551: Funny how the people that are trying to buy fake vaccine cards so they can travel without getting the vaccine are the same…,2021-05-01 11:24:47,1388454349777653761,thebart33,,,False,1450,0,en,Twitter for Android
,"RT @CARROTHUSBAND: the covid situation in India is really bad. The government isn't doing shit, and there are over 350k cases everyday. The…",2021-05-01 11:24:47,1388454349576171522,noavocadoplease,,no stunt,False,71840,0,en,Twitter for Android
,"RT @Prakhar79bjp: @ANI .Modi literally made India, it's vaccine, it's vaccine drive, a joke. 

We were exporting vaccines a few weeks back.…",2021-05-01 11:24:47,1388454346770112516,Prakhar79bjp,,"New Delhi, India",False,1,0,en,Twitter for Android
,"asking everyone who is in favour of vaccine passports, why, if it's just about a vaccine or a virus, can't you just… https://t.co/OGnHDRTYZ1",2021-05-01 11:24:47,1388454346438979596,UnicornNina,,Lancashire England,False,0,0,en,Twitter Web App
,"RT @sk_traza98: Since 2014, the country has a habit of getting in line.

Have seen dead corpses alive on the streets without oxygen!

But #…",2021-05-01 11:24:47,1388454346115796992,PravinK28423863,,,False,174,0,en,Twitter for Android
,"RT @sandipsabharwal: Just one #RTPCR test for #COVID19 costs you around Rs 1000
Stop cribbing about a few hundred rupees for a #Vaccine whi…",2021-05-01 11:24:46,1388454345826394113,Anshumaan06,,,True,9,0,en,Twitter for Android
,"Never again right @HolocaustMuseum 
Indias covid crisis is not the case of mismanagement. It's a sheer case of igno… https://t.co/KNrP080rFW",2021-05-01 11:24:46,1388454345256091656,Anonee16,,,False,0,0,en,Twitter for Android
,RT @irma5913: Democrats demand release of secret vaccine contracts inked under Trump https://t.co/XQUcAe1SKF,2021-05-01 11:24:46,1388454343666511879,davidstevens111,,🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦,False,8,0,en,Twitter for iPhone
,"RT @Bhuvanbagga: And perhaps explains why #AdarPoonawalla may also be about to launch vaccine production outside India, maybe in UK?    Per…",2021-05-01 11:24:46,1388454343536381959,toshi_s2020,,Mumbai - Delhi,True,25,0,en,Twitter for Android
,RT @PeterAWatt: LifePetitions - Petitions for a Culture of Life https://t.co/KEEo3eaCHJ,2021-05-01 11:24:46,1388454343511318532,JasSpin1,,"Hammersmith, London",False,4,0,en,Twitter for Android
,"RT @denisrancourt: ""vaccine resistant variants"" is an idiotic phrase.
We are in full-on idiocy now.
Nothing needs to make any sense at all.…",2021-05-01 11:24:45,1388454340013314048,BarbaraGoggin4,,"London, England",True,864,0,en,Twitter for iPhone
